experiment,folds,accuracy_q1,accuracy_median,accuracy_q3,f1_q1,f1_median,f1_q3,balanced_accuracy_q1,balanced_accuracy_median,balanced_accuracy_q3,roc_auc_q1,roc_auc_median,roc_auc_q3
approach_a_efficientnetb0_mobilenet_linear_svm,10,0.9123949579831933,0.9411764705882353,0.942436974789916,0.9115479115479115,0.9409722222222222,0.9466374269005847,0.9121732026143791,0.9392361111111112,0.9424019607843137,0.9826989619377162,0.9895833333333334,0.9933679354094579
approach_b_mobilenet_pca40_rbf_svm,10,0.8857142857142857,0.9117647058823529,0.9411764705882353,0.8947368421052632,0.918918918918919,0.9466374269005847,0.8839869281045751,0.9117647058823529,0.9401041666666666,0.9610456314878892,0.9782775855440214,0.9947916666666667
approach_c_mobilenet_resnet50_pca300_linear_svm,10,0.9123949579831933,0.9411764705882353,0.963655462184874,0.918918918918919,0.9444444444444444,0.9654135338345864,0.9121732026143791,0.9392361111111112,0.9636437908496732,0.9774936322568243,0.9881776239907728,0.9930735774702037
approach_d_mobilenet_resnet50_pca100_rbf_svm,10,0.8831932773109243,0.9117647058823529,0.934453781512605,0.8903508771929824,0.918918918918919,0.9391025641025641,0.8827614379084967,0.9090073529411764,0.934078839869281,0.9628027681660899,0.9680351307189543,0.9852580738177624
