experiment,approach,fold,train_size,test_size,accuracy,f1,balanced_accuracy,roc_auc,reduction_seconds,training_seconds,prediction_seconds
approach_a_efficientnetb0_mobilenet_linear_svm,A,1,307,35,0.9142857142857143,0.918918918918919,0.9133986928104575,0.954248366013072,0.03244765801355243,2.0577690140344203,0.3396747619844973
approach_a_efficientnetb0_mobilenet_linear_svm,A,2,307,35,0.9428571428571428,0.9444444444444444,0.9428104575163399,0.9934640522875817,0.033141191001050174,1.9671114640077576,0.3461781090009026
approach_a_efficientnetb0_mobilenet_linear_svm,A,3,308,34,0.9411764705882353,0.9473684210526315,0.9375,1.0,0.03275663801468909,1.9803285980015062,0.34602744097355753
approach_a_efficientnetb0_mobilenet_linear_svm,A,4,308,34,0.9705882352941176,0.972972972972973,0.96875,0.9930555555555556,0.0328136159805581,2.3953061409993097,0.36086536600487307
approach_a_efficientnetb0_mobilenet_linear_svm,A,5,308,34,0.9411764705882353,0.9444444444444444,0.9409722222222222,0.9861111111111112,0.03344757598824799,2.003376734966878,0.3375135100213811
approach_a_efficientnetb0_mobilenet_linear_svm,A,6,308,34,0.9117647058823529,0.9090909090909091,0.9117647058823529,0.9826989619377162,0.032850646995939314,2.004943826003,0.32655907300068066
approach_a_efficientnetb0_mobilenet_linear_svm,A,7,308,34,0.8529411764705882,0.8717948717948718,0.8529411764705883,0.9653979238754324,0.03285691898781806,1.9497804649872705,0.33301279501756653
approach_a_efficientnetb0_mobilenet_linear_svm,A,8,308,34,0.9705882352941176,0.9714285714285714,0.9705882352941176,1.0,0.03345803503179923,2.074891711003147,0.34041468397481367
approach_a_efficientnetb0_mobilenet_linear_svm,A,9,308,34,0.9411764705882353,0.9375,0.9411764705882353,0.9930795847750865,0.032668418949469924,2.0809824200114235,0.34546119201695547
approach_a_efficientnetb0_mobilenet_linear_svm,A,10,308,34,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9826989619377162,0.03433480899548158,2.097559824003838,0.3322034809971228
approach_b_mobilenet_pca40_rbf_svm,B,1,307,35,0.8857142857142857,0.8947368421052632,0.8839869281045751,0.9248366013071896,0.798485493985936,0.018086090974975377,0.0031163140083663166
approach_b_mobilenet_pca40_rbf_svm,B,2,307,35,0.8857142857142857,0.8947368421052632,0.8839869281045751,0.9738562091503267,0.8246538729872555,0.013178719964344054,0.0010225509759038687
approach_b_mobilenet_pca40_rbf_svm,B,3,308,34,0.9411764705882353,0.9473684210526315,0.9375,0.9895833333333334,0.7383126659551635,0.010561668023001403,0.0010290219797752798
approach_b_mobilenet_pca40_rbf_svm,B,4,308,34,0.9705882352941176,0.972972972972973,0.96875,0.9965277777777778,0.9148782980046235,0.005583050020504743,0.0020468540024012327
approach_b_mobilenet_pca40_rbf_svm,B,5,308,34,0.9411764705882353,0.9444444444444444,0.9409722222222222,0.96875,0.8838650429970585,0.006589151977095753,0.0017716099973767996
approach_b_mobilenet_pca40_rbf_svm,B,6,308,34,0.8235294117647058,0.8333333333333334,0.8235294117647058,0.958477508650519,0.6711214529932477,0.006575366016477346,0.0010211410117335618
approach_b_mobilenet_pca40_rbf_svm,B,7,308,34,0.8235294117647058,0.85,0.8235294117647058,0.930795847750865,0.6566235739737749,0.005567378015257418,0.0009894020040519536
approach_b_mobilenet_pca40_rbf_svm,B,8,308,34,0.9705882352941176,0.9714285714285714,0.9705882352941176,0.9965397923875432,0.7217473880155012,0.011201684013940394,0.0010076470207422972
approach_b_mobilenet_pca40_rbf_svm,B,9,308,34,0.9117647058823529,0.918918918918919,0.9117647058823529,1.0,0.7183013400062919,0.009645014011766762,0.00101096200523898
approach_b_mobilenet_pca40_rbf_svm,B,10,308,34,0.9117647058823529,0.918918918918919,0.9117647058823529,0.9826989619377162,0.7668129809899256,0.01200966100441292,0.0010014549479819834
approach_c_mobilenet_resnet50_pca300_linear_svm,C,1,307,35,0.9142857142857143,0.918918918918919,0.9133986928104575,0.9281045751633987,2.38275050901575,0.006636491976678371,0.001266488980036229
approach_c_mobilenet_resnet50_pca300_linear_svm,C,2,307,35,0.9428571428571428,0.9444444444444444,0.9428104575163399,0.9901960784313726,2.2766251880093478,0.006671148003078997,0.001307185972109437
approach_c_mobilenet_resnet50_pca300_linear_svm,C,3,308,34,0.9411764705882353,0.9473684210526315,0.9375,0.9930555555555556,2.1801718259812333,0.006731632980518043,0.0012329849996604025
approach_c_mobilenet_resnet50_pca300_linear_svm,C,4,308,34,1.0,1.0,1.0,1.0,2.1554655199870467,0.00675800401950255,0.001231823000125587
approach_c_mobilenet_resnet50_pca300_linear_svm,C,5,308,34,0.9411764705882353,0.9444444444444444,0.9409722222222222,0.9826388888888888,2.1804085280164145,0.006945420987904072,0.001275206042919308
