extractor,seconds
Xception,7.300240287033375
VGG16,6.190104219014756
VGG19,6.131749210006092
ResNet50,0.0
ResNet101,9.117237585014664
ResNet152,10.66342443600297
ResNet50V2,6.958878031000495
ResNet101V2,8.461889661033638
ResNet152V2,10.117782347020693
InceptionV3,7.966807336022612
InceptionResNetV2,11.038145209953655
MobileNet,0.0
DenseNet121,8.937073840002995
DenseNet169,10.239296964020468
DenseNet201,11.105814319045749
NASNetMobile,10.374872828018852
MobileNetV2,6.456133556959685
EfficientNetB0,0.0
EfficientNetB1,8.512642877991311
EfficientNetB2,8.280781870998908
EfficientNetB3,8.931752820964903
EfficientNetB4,10.497154705983121
EfficientNetB5,13.259430753008928
EfficientNetB6,16.306205452012364
EfficientNetB7,22.68268910399638
