experiment,folds,accuracy_q1,accuracy_median,accuracy_q3,accuracy_mean,accuracy_std,f1_q1,f1_median,f1_q3,f1_mean,f1_std,f1_clear_q1,f1_clear_median,f1_clear_q3,f1_clear_mean,f1_clear_std,f1_obstructed_q1,f1_obstructed_median,f1_obstructed_q3,f1_obstructed_mean,f1_obstructed_std,macro_f1_q1,macro_f1_median,macro_f1_q3,macro_f1_mean,macro_f1_std,balanced_accuracy_q1,balanced_accuracy_median,balanced_accuracy_q3,balanced_accuracy_mean,balanced_accuracy_std,mcc_q1,mcc_median,mcc_q3,mcc_mean,mcc_std,obstructed_recall_q1,obstructed_recall_median,obstructed_recall_q3,obstructed_recall_mean,obstructed_recall_std,clear_recall_q1,clear_recall_median,clear_recall_q3,clear_recall_mean,clear_recall_std,obstructed_precision_q1,obstructed_precision_median,obstructed_precision_q3,obstructed_precision_mean,obstructed_precision_std,clear_precision_q1,clear_precision_median,clear_precision_q3,clear_precision_mean,clear_precision_std,roc_auc_q1,roc_auc_median,roc_auc_q3,roc_auc_mean,roc_auc_std
a_resnet101v2_logistic,342,1.0,1.0,1.0,0.9415204678362573,0.23499179093870098,0.0,0.0,1.0,0.49415204678362573,0.5006983512895445,0.0,0.0,1.0,0.49415204678362573,0.5006983512895445,0.0,0.0,1.0,0.4473684210526316,0.4979507318164731,1.0,1.0,1.0,0.9415204678362573,0.23499179093870098,1.0,1.0,1.0,0.9415204678362573,0.23499179093870098,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9161676646706587,0.2779696969853077,1.0,1.0,1.0,0.9657142857142857,0.18248422564933503,1.0,1.0,1.0,0.9622641509433962,0.19115877332234493,1.0,1.0,1.0,0.9234972677595629,0.2665300196340371,,,,,
b_efficientnetb3_pca_300_linear_svm,342,1.0,1.0,1.0,0.9327485380116959,0.2508239581640053,0.0,0.0,1.0,0.48830409356725146,0.5005955877218023,0.0,0.0,1.0,0.48830409356725146,0.5005955877218023,0.0,0.0,1.0,0.4444444444444444,0.4976320598519611,1.0,1.0,1.0,0.9327485380116959,0.2508239581640053,1.0,1.0,1.0,0.9327485380116959,0.2508239581640053,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9101796407185628,0.2867841492441685,1.0,1.0,1.0,0.9542857142857143,0.2094640906086664,1.0,1.0,1.0,0.95,0.21862923440922713,1.0,1.0,1.0,0.9175824175824175,0.2757584845269464,,,,,
c_mobilenet_resnet50_pca_300_linear_svm,342,1.0,1.0,1.0,0.9327485380116959,0.2508239581640053,0.0,0.0,1.0,0.49707602339181284,0.5007240388861425,0.0,0.0,1.0,0.49707602339181284,0.5007240388861425,0.0,0.0,1.0,0.43567251461988304,0.4965712209570825,1.0,1.0,1.0,0.9327485380116959,0.2508239581640053,1.0,1.0,1.0,0.9327485380116959,0.2508239581640053,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8922155688622755,0.3110406187351394,1.0,1.0,1.0,0.9714285714285714,0.16707667138625512,1.0,1.0,1.0,0.9675324675324676,0.17781650117268738,1.0,1.0,1.0,0.9042553191489362,0.29502647161824747,,,,,
d_mobilenet_resnet50_pca_300_linear_svm,342,1.0,1.0,1.0,0.9385964912280702,0.24042073529196045,0.0,0.0,1.0,0.49707602339181284,0.5007240388861425,0.0,0.0,1.0,0.49707602339181284,0.5007240388861425,0.0,0.0,1.0,0.4415204678362573,0.4972959413121409,1.0,1.0,1.0,0.9385964912280702,0.24042073529196045,1.0,1.0,1.0,0.9385964912280702,0.24042073529196045,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9041916167664671,0.2952134807328528,1.0,1.0,1.0,0.9714285714285714,0.16707667138625512,1.0,1.0,1.0,0.967948717948718,0.17670357153123453,1.0,1.0,1.0,0.9139784946236559,0.2811526075358507,,,,,
