experiment,approach,classifier,fold,train_size,test_size,prepared_features,shared_preprocessing_size,accuracy,f1,f1_clear,f1_obstructed,macro_f1,balanced_accuracy,mcc,tn_obstructed,fp_obstructed_as_clear,fn_clear_as_obstructed,tp_clear,obstructed_recall,clear_recall,obstructed_precision,clear_precision,roc_auc,reduction_seconds,training_seconds,prediction_seconds
a_efficientnetb6_random_forest,A,random_forest,2,307,35,665856,8,0.8571428571428571,0.8484848484848485,0.8484848484848485,0.8648648648648649,0.8566748566748568,0.8594771241830066,0.7261081981828944,16,1,4,14,0.9411764705882352,0.7777777777777778,0.8,0.9333333333333332,0.937908496732026,0.1627280729589983,4.17996174399741,0.0161606239853426
a_efficientnetb6_adaboost,A,adaboost,2,307,35,665856,8,0.8857142857142857,0.8888888888888888,0.8888888888888888,0.8823529411764706,0.8856209150326797,0.8856209150326797,0.7712418300653595,15,2,2,16,0.8823529411764706,0.8888888888888888,0.8823529411764706,0.8888888888888888,0.9542483660130718,0.1627280729589983,586.0784994140267,0.3595146699808538
a_efficientnetb6_gaussian_nb,A,gaussian_nb,2,307,35,665856,8,0.8,0.7878787878787878,0.7878787878787878,0.8108108108108109,0.7993447993447993,0.8022875816993464,0.6105909848356158,15,2,5,13,0.8823529411764706,0.7222222222222222,0.75,0.8666666666666667,0.8022875816993464,0.1627280729589983,0.4492507789982483,0.1230147759779356
a_efficientnetb6_decision_tree,A,decision_tree,3,308,34,665856,8,0.8235294117647058,0.85,0.85,0.7857142857142857,0.8178571428571428,0.8159722222222222,0.6600444454986877,11,5,1,17,0.6875,0.9444444444444444,0.9166666666666666,0.7727272727272727,0.8159722222222222,0.1596990979742258,42.850711552018765,0.0069681900204159
a_efficientnetb6_rbf_svm,A,rbf_svm,3,308,34,665856,8,0.9117647058823528,0.9230769230769232,0.9230769230769232,0.896551724137931,0.9098143236074272,0.90625,0.8345229603962802,13,3,0,18,0.8125,1.0,1.0,0.8571428571428571,0.9652777777777778,0.1596990979742258,11.99798780598212,4.778294891992118
a_efficientnetb6_linear_svm,A,linear_svm,3,308,34,665856,8,0.9117647058823528,0.9230769230769232,0.9230769230769232,0.896551724137931,0.9098143236074272,0.90625,0.8345229603962802,13,3,0,18,0.8125,1.0,1.0,0.8571428571428571,0.9861111111111112,0.1596990979742258,13.241791756998282,2.2247994689969346
a_efficientnetb6_mlp,A,mlp,3,308,34,665856,8,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.875,0.8819444444444444,0.8819444444444444,0.7638888888888888,14,2,2,16,0.875,0.8888888888888888,0.875,0.8888888888888888,0.90625,0.1596990979742258,42.06873214402003,0.0459168670349754
a_efficientnetb6_logistic,A,logistic,3,308,34,665856,8,0.9117647058823528,0.9230769230769232,0.9230769230769232,0.896551724137931,0.9098143236074272,0.90625,0.8345229603962802,13,3,0,18,0.8125,1.0,1.0,0.8571428571428571,0.9618055555555556,0.1596990979742258,2.8337970189750195,0.0248215539613738
a_efficientnetb6_random_forest,A,random_forest,3,308,34,665856,8,0.9117647058823528,0.918918918918919,0.918918918918919,0.9032258064516128,0.911072362685266,0.9097222222222222,0.8237460196403346,14,2,1,17,0.875,0.9444444444444444,0.9333333333333332,0.8947368421052632,0.935763888888889,0.1596990979742258,4.14503600000171,0.0162332539912313
a_efficientnetb6_adaboost,A,adaboost,3,308,34,665856,8,0.8529411764705882,0.8648648648648649,0.8648648648648649,0.8387096774193549,0.85178727114211,0.8506944444444444,0.7050707456243541,13,3,2,16,0.8125,0.8888888888888888,0.8666666666666667,0.8421052631578947,0.9409722222222222,0.1596990979742258,587.6226646860014,0.3532110269879922
a_efficientnetb6_gaussian_nb,A,gaussian_nb,3,308,34,665856,8,0.8235294117647058,0.85,0.85,0.7857142857142857,0.8178571428571428,0.8159722222222222,0.6600444454986877,11,5,1,17,0.6875,0.9444444444444444,0.9166666666666666,0.7727272727272727,0.8159722222222222,0.1596990979742258,0.4498350590001791,0.1182252389844507
a_efficientnetb6_decision_tree,A,decision_tree,4,308,34,665856,8,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.875,0.8819444444444444,0.8819444444444444,0.7638888888888888,14,2,2,16,0.875,0.8888888888888888,0.875,0.8888888888888888,0.8819444444444444,0.158985310990829,45.69210698601091,0.0069115679943934
a_efficientnetb6_rbf_svm,A,rbf_svm,4,308,34,665856,8,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.875,0.8819444444444444,0.8819444444444444,0.7638888888888888,14,2,2,16,0.875,0.8888888888888888,0.875,0.8888888888888888,0.9444444444444444,0.158985310990829,12.1319470689632,4.843634661985561
a_efficientnetb6_linear_svm,A,linear_svm,4,308,34,665856,8,0.8823529411764706,0.8947368421052632,0.8947368421052632,0.8666666666666667,0.880701754385965,0.8784722222222222,0.7676817813784025,13,3,1,17,0.8125,0.9444444444444444,0.9285714285714286,0.85,0.9861111111111112,0.158985310990829,13.404224127996711,2.203892010031268
a_efficientnetb6_mlp,A,mlp,4,308,34,665856,8,0.8823529411764706,0.8947368421052632,0.8947368421052632,0.8666666666666667,0.880701754385965,0.8784722222222222,0.7676817813784025,13,3,1,17,0.8125,0.9444444444444444,0.9285714285714286,0.85,0.8975694444444444,0.158985310990829,24.0011956509552,0.0475262450054287
a_efficientnetb6_logistic,A,logistic,4,308,34,665856,8,0.8823529411764706,0.8947368421052632,0.8947368421052632,0.8666666666666667,0.880701754385965,0.8784722222222222,0.7676817813784025,13,3,1,17,0.8125,0.9444444444444444,0.9285714285714286,0.85,0.96875,0.158985310990829,2.461892678984441,0.0425360429799184
a_efficientnetb6_random_forest,A,random_forest,4,308,34,665856,8,0.9411764705882352,0.9444444444444444,0.9444444444444444,0.9375,0.9409722222222222,0.9409722222222222,0.8819444444444444,15,1,1,17,0.9375,0.9444444444444444,0.9375,0.9444444444444444,0.96875,0.158985310990829,4.179004203004297,0.0161244510090909
a_efficientnetb6_adaboost,A,adaboost,4,308,34,665856,8,0.9411764705882352,0.9444444444444444,0.9444444444444444,0.9375,0.9409722222222222,0.9409722222222222,0.8819444444444444,15,1,1,17,0.9375,0.9444444444444444,0.9375,0.9444444444444444,0.9722222222222222,0.158985310990829,587.4529248189647,0.3506397709716111
