rank_position,experiment,approach,model,extractors,reduction,components,classifier,average_friedman_rank,folds,accuracy_q1,accuracy_median,accuracy_q3,accuracy_mean,accuracy_std,f1_q1,f1_median,f1_q3,f1_mean,f1_std,f1_clear_q1,f1_clear_median,f1_clear_q3,f1_clear_mean,f1_clear_std,f1_obstructed_q1,f1_obstructed_median,f1_obstructed_q3,f1_obstructed_mean,f1_obstructed_std,macro_f1_q1,macro_f1_median,macro_f1_q3,macro_f1_mean,macro_f1_std,balanced_accuracy_q1,balanced_accuracy_median,balanced_accuracy_q3,balanced_accuracy_mean,balanced_accuracy_std,mcc_q1,mcc_median,mcc_q3,mcc_mean,mcc_std,obstructed_recall_q1,obstructed_recall_median,obstructed_recall_q3,obstructed_recall_mean,obstructed_recall_std,clear_recall_q1,clear_recall_median,clear_recall_q3,clear_recall_mean,clear_recall_std,obstructed_precision_q1,obstructed_precision_median,obstructed_precision_q3,obstructed_precision_mean,obstructed_precision_std,clear_precision_q1,clear_precision_median,clear_precision_q3,clear_precision_mean,clear_precision_std,roc_auc_q1,roc_auc_median,roc_auc_q3,roc_auc_mean,roc_auc_std,tn_obstructed,fp_obstructed_as_clear,fn_clear_as_obstructed,tp_clear,training_seconds_total,prediction_seconds_total,pooled_accuracy,pooled_obstructed_recall,pooled_clear_recall,accuracy_iqr
1,d_mobilenet_resnet50_pca_300_linear_svm,D,MobileNet+ResNet50; PCA-300 per CNN; linear SVM,MobileNet+ResNet50,pca,300,linear_svm,6.8,10,0.9123949579831933,0.9411764705882352,0.963655462184874,0.938655462184874,0.0350285684001392,0.918918918918919,0.9444444444444444,0.9654135338345864,0.9420780041832671,0.0325219213495516,0.918918918918919,0.9444444444444444,0.9654135338345864,0.9420780041832671,0.0325219213495516,0.9103896103896104,0.9354166666666666,0.962566844919786,0.9344672839810408,0.0386673916022917,0.912267462267462,0.9406615497076024,0.963624692301163,0.938272644082154,0.0353988098215593,0.912173202614379,0.9392361111111112,0.9636437908496732,0.9381740196078432,0.0350845149815376,0.8312994980936824,0.8837826797385621,0.9289597730527832,0.8818521795774235,0.0653961769407612,0.8768382352941176,0.9393382352941176,0.9411764705882352,0.9047794117647058,0.0691604390548353,0.9444444444444444,1.0,1.0,0.9715686274509804,0.0408474944952765,0.9384191176470588,1.0,1.0,0.9705065359477124,0.0407154658122365,0.8960526315789474,0.9409722222222222,0.9444444444444444,0.916953842940685,0.0549209518180811,0.9757665321030372,0.9881776239907728,0.9930735774702036,0.9821342752787392,0.0213082242087238,151.0,16.0,5.0,170.0,0.0700796040109704,0.0119170900070453,0.9385964912280702,0.9041916167664671,0.9714285714285714,0.05126050420168071
2,d_efficientnetb1_efficientnetb5_pca_300_linear_svm,D,EfficientNetB1+EfficientNetB5; PCA-300 per CNN; linear SVM,EfficientNetB1+EfficientNetB5,pca,300,linear_svm,6.0,10,0.8897058823529411,0.9420168067226892,0.963655462184874,0.9268067226890756,0.0423042455672068,0.899624060150376,0.9409722222222222,0.9646825396825396,0.928861529848372,0.041586823151709,0.899624060150376,0.9409722222222222,0.9646825396825396,0.928861529848372,0.041586823151709,0.8835227272727273,0.9411764705882352,0.9619175627240144,0.924183369339916,0.0440678189485561,0.8893804112554112,0.9418913398692812,0.9634707050504014,0.926522449594144,0.0425307016501582,0.8897058823529411,0.9419934640522876,0.962265114379085,0.9263888888888888,0.0427529773232411,0.7837796336611913,0.8856209150326797,0.9289467994018956,0.8557604538560517,0.0841110062350536,0.8823529411764706,0.9393382352941176,0.9411764705882352,0.9161764705882354,0.0649810326331932,0.9411764705882352,0.9444444444444444,0.9444444444444444,0.9366013071895424,0.0516987542278979,0.9297619047619048,0.9393382352941176,0.9411764705882352,0.9351004349108064,0.0478097302953495,0.8784722222222222,0.9444444444444444,0.9466374269005848,0.9236695906432748,0.0569282739466303,0.9636678200692042,0.9831795463283352,0.9983660130718954,0.9807417820069204,0.0176542610754095,153.0,14.0,11.0,164.0,0.0725059660617257,0.0121560068801041,0.9269005847953217,0.9161676646706587,0.9371428571428572,0.07394957983193284
3,d_efficientnetb0_mobilenet_pca_100_linear_svm,D,EfficientNetB0+MobileNet; PCA-100 per CNN; linear SVM,EfficientNetB0+MobileNet,pca,100,linear_svm,5.8,10,0.9117647058823528,0.9130252100840336,0.942436974789916,0.9298319327731092,0.0247078830722507,0.9103896103896104,0.918918918918919,0.9444444444444444,0.9306821610047418,0.0259473624174841,0.9103896103896104,0.918918918918919,0.9444444444444444,0.9306821610047418,0.0259473624174841,0.9142857142857144,0.9166023166023168,0.9402573529411764,0.9284343050448364,0.0246176859411262,0.9112263499360274,0.912987012987013,0.9423508986928104,0.9295582330247892,0.0248304234655536,0.9117647058823528,0.9133986928104574,0.9424019607843136,0.9296772875816992,0.0248049528803397,0.8262347734075102,0.8366600265340755,0.8877977162371488,0.8636421821863918,0.0480090286082209,0.8961397058823529,0.9411764705882352,0.9411764705882352,0.9283088235294118,0.0547301781209867,0.8839869281045751,0.9444444444444444,0.9861111111111112,0.931045751633987,0.0604442663452608,0.8888888888888888,0.9372549019607842,0.9852941176470588,0.933235294117647,0.0540849508652042,0.9054276315789472,0.9393382352941176,0.9466374269005848,0.9347463020295838,0.0461993558154197,0.9731833910034602,0.9864475201845444,0.995665729527105,0.9816849288735104,0.0182548667956178,155.0,12.0,12.0,163.0,0.0332034149905661,0.0057389049907211,0.9298245614035088,0.9281437125748503,0.9314285714285714,0.03067226890756314
4,d_mobilenet_resnet101_pca_200_linear_svm,D,MobileNet+ResNet101; PCA-200 per CNN; linear SVM,MobileNet+ResNet101,pca,200,linear_svm,4.95,10,0.8922268907563025,0.9277310924369748,0.9411764705882352,0.9241176470588236,0.0340011487676742,0.8939393939393939,0.9316816816816818,0.9466374269005848,0.9261446460130672,0.0351165341679697,0.8939393939393939,0.9316816816816818,0.9466374269005848,0.9261446460130672,0.0351165341679697,0.8924731182795698,0.926126126126126,0.9375,0.9214158793950064,0.0336849066300986,0.8919837769458263,0.9271778955989484,0.9409722222222222,0.9237802627040368,0.0340545402083549,0.892156862745098,0.9270833333333336,0.941125408496732,0.9237745098039216,0.0334717867244054,0.7875963791825384,0.8617849279873088,0.8882454793452145,0.853274441408965,0.0668214481214769,0.8768382352941176,0.9099264705882352,0.9402573529411764,0.9044117647058824,0.0567178258108143,0.9019607843137254,0.9722222222222222,1.0,0.9431372549019608,0.0710854219051757,0.8950980392156862,0.96875,1.0,0.94452915376677,0.0657031413069442,0.8903508771929824,0.9166666666666666,0.9444444444444444,0.91453216374269,0.0485301922664902,0.9538638985005768,0.98266291810842,0.9867358708189156,0.9678452998846596,0.0290285061714709,151.0,16.0,10.0,165.0,0.0369755527935917,0.0070261596702035,0.9239766081871345,0.9041916167664671,0.9428571428571428,0.04894957983193271
5,d_resnet101_densenet121_pca_150_logistic,D,ResNet101+DenseNet121; PCA-150 per CNN; logistic regression,ResNet101+DenseNet121,pca,150,logistic,4.7,10,0.8823529411764706,0.9130252100840336,0.9705882352941176,0.9212605042016808,0.0453678620281487,0.8903508771929824,0.9186813186813187,0.9714285714285714,0.9255464861656814,0.0428675320259276,0.8903508771929824,0.9186813186813187,0.9714285714285714,0.9255464861656814,0.0428675320259276,0.8768382352941176,0.9054187192118228,0.9692082111436948,0.9160174739326412,0.0488918201940986,0.882046568627451,0.9120500189465708,0.9705114414791834,0.9207819800491612,0.0456507184637861,0.8823529411764706,0.910641339869281,0.9701286764705882,0.9206699346405228,0.0456465726554982,0.7742391039324757,0.8322941599367022,0.9427121046006262,0.8471749894307988,0.0887512637325245,0.8235294117647058,0.9099264705882352,0.9411764705882352,0.8867647058823529,0.0765279134053758,0.9019607843137254,0.9722222222222222,1.0,0.9545751633986927,0.052115958355177,0.8999999999999999,0.9705882352941176,1.0,0.9520751633986928,0.0545163195611633,0.8458646616541353,0.9117647058823528,0.9444444444444444,0.901066391468868,0.062286265607133,0.9429065743944636,0.9739583333333331,0.989889705882353,0.9661848808150711,0.0272437906243629,148.0,19.0,8.0,167.0,0.6244581410064707,0.0023315870057552,0.9210526315789473,0.8862275449101796,0.9542857142857143,0.08823529411764708
6,d_resnet101_mobilenetv2_pca_300_linear_svm,D,ResNet101+MobileNetV2; PCA-300 per CNN; linear SVM,ResNet101+MobileNetV2,pca,300,linear_svm,4.55,10,0.8922268907563025,0.926470588235294,0.9411764705882352,0.9210924369747898,0.0308414682649903,0.899624060150376,0.9321266968325792,0.9411764705882352,0.92508240864278,0.0281006856503735,0.899624060150376,0.9321266968325792,0.9411764705882352,0.92508240864278,0.0281006856503735,0.8859026369168357,0.9232954545454546,0.9411764705882352,0.9161701562176764,0.0347832294120721,0.8916692671763666,0.9263302669552668,0.9411764705882352,0.9206262824302284,0.0311560924237823,0.8907781862745098,0.9263684640522876,0.9411764705882352,0.9204861111111112,0.0308794364706066,0.7963363221981586,0.8582337024203623,0.8823529411764706,0.8468451727935827,0.0584614370831377,0.838235294117647,0.9099264705882352,0.9402573529411764,0.8922794117647059,0.0730591580223469,0.9411764705882352,0.9411764705882352,0.9861111111111112,0.9486928104575164,0.0412234173473192,0.934375,0.9393382352941176,0.9852941176470588,0.9467776057791536,0.0418625927730839,0.865079365079365,0.915032679738562,0.943627450980392,0.9060715514275884,0.0585594018630738,0.9604959630911188,0.9882737408688964,0.9956597222222222,0.9750816993464052,0.0274776334689522,149.0,18.0,9.0,166.0,0.0683344470016887,0.0120263550052182,0.9210526315789473,0.8922155688622755,0.9485714285714286,0.04894957983193271
7,d_xception_resnet50_pca_300_logistic,D,Xception+ResNet50; PCA-300 per CNN; logistic regression,Xception+ResNet50,pca,300,logistic,4.45,10,0.8823529411764706,0.9411764705882352,0.942436974789916,0.918235294117647,0.0450154087552073,0.8854489164086687,0.94281045751634,0.9466374269005848,0.9235584844872772,0.0410096011911571,0.8854489164086687,0.94281045751634,0.9466374269005848,0.9235584844872772,0.0410096011911571,0.8705882352941177,0.9354166666666666,0.9411764705882352,0.9115715842915184,0.0509205093069286,0.8811145510835914,0.9406615497076024,0.9424019607843136,0.9175650343893976,0.0456691918466003,0.8823529411764706,0.9392361111111112,0.9424019607843136,0.9175653594771244,0.0447114970056007,0.7702283598820666,0.8821486928104575,0.8869642043568766,0.842736916417817,0.0838947526502244,0.8363970588235294,0.9099264705882352,0.9402573529411764,0.875,0.0846032136965353,0.9419934640522876,0.9722222222222222,1.0,0.9601307189542484,0.0470507537662504,0.9384191176470588,0.9705882352941176,1.0,0.957720588235294,0.049907702682101,0.8521671826625387,0.9205882352941176,0.9444444444444444,0.8928587511559648,0.0644659496755926,0.9731833910034602,0.9848856209150328,0.992205521914648,0.978344867358708,0.021147691409424,146.0,21.0,7.0,168.0,0.5067559470116971,0.0024722730086064,0.9181286549707602,0.874251497005988,0.96,0.06008403361344539
8,d_resnet101_densenet169_pca_300_logistic,D,ResNet101+DenseNet169; PCA-300 per CNN; logistic regression,ResNet101+DenseNet169,pca,300,logistic,4.2,10,0.8823529411764706,0.8987394957983192,0.9411764705882352,0.9125210084033611,0.0406914208212995,0.8888888888888888,0.9089068825910932,0.9444444444444444,0.9152366824735246,0.0423505445096838,0.8888888888888888,0.9089068825910932,0.9444444444444444,0.9152366824735246,0.0423505445096838,0.8768382352941176,0.89272030651341,0.9375,0.9086763990915664,0.0407208563949192,0.8819444444444444,0.8977176193200535,0.9409722222222222,0.9119565407825456,0.0409087178985636,0.8823529411764706,0.8959354575163399,0.941125408496732,0.9119893790849674,0.0400946299837139,0.7703506133314548,0.8106593764328616,0.88687859859009,0.8314473959609078,0.0780220247314796,0.838235294117647,0.9099264705882352,0.9402573529411764,0.8863970588235294,0.0653876828436845,0.9019607843137254,0.9722222222222222,1.0,0.9375816993464052,0.0819596434394912,0.8950980392156862,0.96875,1.0,0.93952915376677,0.074948160139807,0.865079365079365,0.9140350877192982,0.9416666666666668,0.8995321637426901,0.0493739157672034,0.9489619377162628,0.9818218954248366,0.995665729527105,0.9731978085351786,0.0250401402440591,148.0,19.0,11.0,164.0,0.4229342300022831,0.0025055199803314,0.9122807017543859,0.8862275449101796,0.9371428571428572,0.05882352941176461
9,d_vgg16_vgg19_pca_300_linear_svm,D,VGG16+VGG19; PCA-300 per CNN; linear SVM,VGG16+VGG19,pca,300,linear_svm,3.55,10,0.8642857142857142,0.9117647058823528,0.9411764705882352,0.9036974789915966,0.0475072009931915,0.8760683760683761,0.913151364764268,0.9458204334365324,0.9101298502357124,0.0425664879174306,0.8760683760683761,0.913151364764268,0.9458204334365324,0.9101298502357124,0.0425664879174306,0.856951871657754,0.907735321528425,0.9333333333333332,0.8951434746566592,0.0548921530569229,0.8639113712643125,0.9104433431463466,0.9403508771929824,0.902636662446186,0.0482216481070193,0.8635620915032679,0.9090073529411764,0.9375,0.9023080065359478,0.0469060324140636,0.7467221669233373,0.8355914934651778,0.8861472108928243,0.8161467906618688,0.0896159684014667,0.8152573529411764,0.875,0.926470588235294,0.85625,0.096998923138174,0.9019607843137254,0.9705882352941176,1.0,0.9483660130718954,0.0633271538220365,0.8925339366515838,0.9705882352941176,1.0,0.9471606334841628,0.0609400536845182,0.8458646616541353,0.8944444444444444,0.9308823529411764,0.8808389958854356,0.0749666618610726,0.9470486111111112,0.9584775086505192,0.9852670847750864,0.9601114955786236,0.0311521967474734,143.0,24.0,9.0,166.0,0.0721302839956475,0.0111880739859766,0.9035087719298246,0.8562874251497006,0.9485714285714286,0.07689075630252096
