rank_position,experiment,approach,model,extractors,reduction,components,classifier,average_friedman_rank,folds,accuracy_q1,accuracy_median,accuracy_q3,accuracy_mean,accuracy_std,f1_q1,f1_median,f1_q3,f1_mean,f1_std,f1_clear_q1,f1_clear_median,f1_clear_q3,f1_clear_mean,f1_clear_std,f1_obstructed_q1,f1_obstructed_median,f1_obstructed_q3,f1_obstructed_mean,f1_obstructed_std,macro_f1_q1,macro_f1_median,macro_f1_q3,macro_f1_mean,macro_f1_std,balanced_accuracy_q1,balanced_accuracy_median,balanced_accuracy_q3,balanced_accuracy_mean,balanced_accuracy_std,mcc_q1,mcc_median,mcc_q3,mcc_mean,mcc_std,obstructed_recall_q1,obstructed_recall_median,obstructed_recall_q3,obstructed_recall_mean,obstructed_recall_std,clear_recall_q1,clear_recall_median,clear_recall_q3,clear_recall_mean,clear_recall_std,obstructed_precision_q1,obstructed_precision_median,obstructed_precision_q3,obstructed_precision_mean,obstructed_precision_std,clear_precision_q1,clear_precision_median,clear_precision_q3,clear_precision_mean,clear_precision_std,roc_auc_q1,roc_auc_median,roc_auc_q3,roc_auc_mean,roc_auc_std,tn_obstructed,fp_obstructed_as_clear,fn_clear_as_obstructed,tp_clear,training_seconds_total,prediction_seconds_total,pooled_accuracy,pooled_obstructed_recall,pooled_clear_recall,accuracy_iqr
1,c_mobilenet_resnet50_pca_300_linear_svm,C,MobileNet+ResNet50; PCA-300; linear SVM,MobileNet+ResNet50,pca,300,linear_svm,6.85,10,0.9123949579831933,0.9411764705882352,0.963655462184874,0.938655462184874,0.0350285684001392,0.918918918918919,0.9444444444444444,0.9654135338345864,0.9420780041832671,0.0325219213495516,0.918918918918919,0.9444444444444444,0.9654135338345864,0.9420780041832671,0.0325219213495516,0.9103896103896104,0.9354166666666666,0.962566844919786,0.9344672839810408,0.0386673916022917,0.912267462267462,0.9406615497076024,0.963624692301163,0.938272644082154,0.0353988098215593,0.912173202614379,0.9392361111111112,0.9636437908496732,0.9381740196078432,0.0350845149815376,0.8312994980936824,0.8837826797385621,0.9289597730527832,0.8818521795774235,0.0653961769407612,0.8768382352941176,0.9393382352941176,0.9411764705882352,0.9047794117647058,0.0691604390548353,0.9444444444444444,1.0,1.0,0.9715686274509804,0.0408474944952765,0.9384191176470588,1.0,1.0,0.9705065359477124,0.0407154658122365,0.8960526315789474,0.9409722222222222,0.9444444444444444,0.916953842940685,0.0549209518180811,0.9774936322568244,0.9881776239907728,0.9930735774702036,0.9817870530565168,0.0213269355582394,151.0,16.0,5.0,170.0,0.0628785542212422,0.0088543898891652,0.9385964912280702,0.9041916167664671,0.9714285714285714,0.05126050420168071
2,c_efficientnetb1_efficientnetb5_pca_300_linear_svm,C,EfficientNetB1+EfficientNetB5; PCA-300; linear SVM,EfficientNetB1+EfficientNetB5,pca,300,linear_svm,6.2,10,0.8897058823529411,0.9273109243697478,0.9705882352941176,0.9267226890756304,0.0445471512156878,0.8983253588516746,0.9293650793650794,0.9714285714285714,0.9288734736103156,0.0442020861472629,0.8983253588516746,0.9293650793650794,0.9714285714285714,0.9288734736103156,0.0442020861472629,0.8835227272727273,0.9277310924369748,0.9692082111436948,0.9240195462349164,0.0458835002545138,0.8893804112554112,0.9272493846023258,0.9705114414791834,0.926446509922616,0.0447633359377224,0.8897058823529411,0.9272875816993464,0.9701286764705882,0.9262254901960786,0.044881566497274,0.7837796336611913,0.8552894132084925,0.9427121046006262,0.8552685588711062,0.088497803681595,0.8823529411764706,0.9393382352941176,0.9411764705882352,0.9102941176470588,0.0589306622456467,0.9411764705882352,0.9444444444444444,0.9861111111111112,0.942156862745098,0.0554818170126395,0.9297619047619048,0.9393382352941176,0.9852941176470588,0.9403979925303456,0.0526757527306659,0.8784722222222222,0.9409722222222222,0.9466374269005848,0.9177119883040936,0.0508893286753891,0.9636678200692042,0.9815455594002308,0.9975490196078431,0.9800881872356786,0.0173842763698891,152.0,15.0,10.0,165.0,0.0563693649601186,0.008031389908864501,0.9269005847953217,0.9101796407185628,0.9428571428571428,0.08088235294117652
3,c_efficientnetb0_mobilenet_pca_300_linear_svm,C,EfficientNetB0+MobileNet; PCA-300; linear SVM,EfficientNetB0+MobileNet,pca,300,linear_svm,5.65,10,0.9123949579831933,0.9411764705882352,0.963655462184874,0.9298319327731092,0.0396440193112403,0.9115479115479116,0.9444444444444444,0.9641148325358851,0.9332513465021204,0.0364693865592299,0.9115479115479116,0.9444444444444444,0.9641148325358851,0.9332513465021204,0.0364693865592299,0.9103896103896104,0.9354166666666666,0.961100569259962,0.9254193051980628,0.0448974543643159,0.912267462267462,0.9406615497076024,0.9634707050504014,0.9293353258500916,0.0403011351327115,0.912173202614379,0.9392361111111112,0.962265114379085,0.9291666666666668,0.0393652541048253,0.8260965973582836,0.8837826797385621,0.9286689621084716,0.864074209865597,0.073196927668625,0.8823529411764706,0.9375,0.9411764705882352,0.9044117647058822,0.079326236924913,0.9419934640522876,0.9444444444444444,1.0,0.9539215686274508,0.046150610196788,0.9375,0.94281045751634,1.0,0.953186274509804,0.0454977262985031,0.8960526315789474,0.9409722222222222,0.9444444444444444,0.9168018810394972,0.0608188364442347,0.9826989619377162,0.9881535947712418,0.9930735774702036,0.9850754517493272,0.0139782809690615,151.0,16.0,8.0,167.0,0.0606162576004857,0.0080879465676838,0.9298245614035088,0.9041916167664671,0.9542857142857143,0.05126050420168071
4,c_mobilenet_resnet101_pca_300_logistic,C,MobileNet+ResNet101; PCA-300; logistic regression,MobileNet+ResNet101,pca,300,logistic,5.15,10,0.9123949579831933,0.9411764705882352,0.942436974789916,0.9268907563025208,0.0373064658636087,0.9154440154440155,0.94281045751634,0.9466374269005848,0.9301834829930806,0.0352595012486944,0.9154440154440155,0.94281045751634,0.9466374269005848,0.9301834829930806,0.0352595012486944,0.9059907834101382,0.9354166666666666,0.9427083333333331,0.9224203299481384,0.0420324568940644,0.911875700585378,0.9406615497076024,0.9423508986928104,0.9263019064706096,0.0380255344496005,0.9125816993464052,0.9392361111111112,0.943627450980392,0.9265522875816992,0.0369761881205627,0.831714026241362,0.8846782059546934,0.8909868832195984,0.8610246008840339,0.0674783732212397,0.8768382352941176,0.9375,0.9411764705882352,0.898529411764706,0.0832287405905225,0.9027777777777776,1.0,1.0,0.9545751633986927,0.0652222597374495,0.9054276315789472,1.0,1.0,0.9563230994152048,0.0607236846505131,0.8960526315789474,0.9372549019607842,0.9444444444444444,0.9128231228695624,0.0633181741290839,0.9456459054209918,0.991625816993464,0.995665729527105,0.9744665513264128,0.0273565976596782,150.0,17.0,8.0,167.0,0.5056294526439156,0.0023734709247943,0.9269005847953217,0.8982035928143712,0.9542857142857143,0.030042016806722693
5,c_resnet101_mobilenetv2_pca_300_logistic,C,ResNet101+MobileNetV2; PCA-300; logistic regression,ResNet101+MobileNetV2,pca,300,logistic,4.85,10,0.8922268907563025,0.9130252100840336,0.9411764705882352,0.9211764705882352,0.0336316477325945,0.8983253588516746,0.9160839160839164,0.943627450980392,0.9242064218844404,0.0315638192718373,0.8983253588516746,0.9160839160839164,0.943627450980392,0.9242064218844404,0.0315638192718373,0.8859026369168357,0.9166023166023168,0.9402573529411764,0.917162294268638,0.0372211804282706,0.8916692671763666,0.9128466128466128,0.941125408496732,0.9206843580765393,0.0339269356076341,0.8907781862745098,0.91421568627451,0.941125408496732,0.9206495098039216,0.0335067284643644,0.7963363221981586,0.8380741859632266,0.882250816993464,0.8478725167791674,0.0638600452104423,0.838235294117647,0.9375,0.9411764705882352,0.9040441176470588,0.0803878600597297,0.9019607843137254,0.9411764705882352,0.9861111111111112,0.9372549019607844,0.055838911712273,0.8999999999999999,0.9393382352941176,0.9861111111111112,0.9377696078431372,0.0525543255352561,0.865079365079365,0.9393382352941176,0.9466374269005848,0.9168150154798764,0.0649712015779258,0.958910034602076,0.9883578431372548,0.995665729527105,0.9747741253364092,0.0288939206784633,151.0,16.0,11.0,164.0,0.5346997850574549,0.0024551930837328,0.9210526315789473,0.9041916167664671,0.9371428571428572,0.04894957983193271
6,c_resnet101_densenet121_pca_40_logistic,C,ResNet101+DenseNet121; PCA-40; logistic regression,ResNet101+DenseNet121,pca,40,logistic,4.65,10,0.8823529411764706,0.9134453781512604,0.9411764705882352,0.9155462184873948,0.0515242484057682,0.8768382352941176,0.9161184210526316,0.9458204334365324,0.9148092658115878,0.0534283390282567,0.8768382352941176,0.9161184210526316,0.9458204334365324,0.9148092658115878,0.0534283390282567,0.8839869281045751,0.9140350877192982,0.943627450980392,0.9154629890233604,0.050844731656059,0.882046568627451,0.9126096491228072,0.941125408496732,0.915136127417474,0.0516950204389663,0.8823529411764706,0.9131944444444444,0.943627450980392,0.9159722222222224,0.05105248638782,0.7742391039324757,0.8404520075404073,0.8887974958263263,0.8384979119864842,0.1001514564377714,0.8823529411764706,0.9411764705882352,1.0,0.9286764705882352,0.0779743116149064,0.838235294117647,0.8856209150326797,1.0,0.9032679738562092,0.0921133309835983,0.8521671826625387,0.8918128654970761,1.0,0.9107081429062852,0.0837122990700558,0.8867647058823529,0.9388888888888888,1.0,0.9344654528478058,0.0669411890154735,0.9186851211072664,0.9850898692810458,0.996536788735102,0.957685745866974,0.0502987429743047,155.0,12.0,17.0,158.0,0.1083674330729986,0.0021343831904228,0.9152046783625731,0.9281437125748503,0.9028571428571428,0.05882352941176461
7,c_xception_resnet50_pca_300_linear_svm,C,Xception+ResNet50; PCA-300; linear SVM,Xception+ResNet50,pca,300,linear_svm,4.35,10,0.8823529411764706,0.9411764705882352,0.942436974789916,0.918235294117647,0.0450154087552073,0.8854489164086687,0.94281045751634,0.9466374269005848,0.9235584844872772,0.0410096011911571,0.8854489164086687,0.94281045751634,0.9466374269005848,0.9235584844872772,0.0410096011911571,0.8705882352941177,0.9354166666666666,0.9411764705882352,0.9115715842915184,0.0509205093069286,0.8811145510835914,0.9406615497076024,0.9424019607843136,0.9175650343893976,0.0456691918466003,0.8823529411764706,0.9392361111111112,0.9424019607843136,0.9175653594771244,0.0447114970056007,0.7702283598820666,0.8821486928104575,0.8869642043568766,0.842736916417817,0.0838947526502244,0.8363970588235294,0.9099264705882352,0.9402573529411764,0.875,0.0846032136965353,0.9419934640522876,0.9722222222222222,1.0,0.9601307189542484,0.0470507537662504,0.9384191176470588,0.9705882352941176,1.0,0.957720588235294,0.049907702682101,0.8521671826625387,0.9205882352941176,0.9444444444444444,0.8928587511559648,0.0644659496755926,0.9662629757785466,0.9831495098039216,0.9930735774702036,0.9779796232218376,0.0203178129156542,146.0,21.0,7.0,168.0,0.0610527803655709,0.0082889732439067,0.9181286549707602,0.874251497005988,0.96,0.06008403361344539
8,c_resnet101_densenet169_pca_300_linear_svm,C,ResNet101+DenseNet169; PCA-300; linear SVM,ResNet101+DenseNet169,pca,300,linear_svm,4.05,10,0.8823529411764706,0.8857142857142857,0.963235294117647,0.912436974789916,0.0455262651777443,0.8784722222222222,0.8944444444444444,0.9646825396825396,0.9161391611391612,0.043988857985589,0.8784722222222222,0.8944444444444444,0.9646825396825396,0.9161391611391612,0.043988857985589,0.8768382352941176,0.8918128654970761,0.9601814516129032,0.9068388576874742,0.0507085637280145,0.8819444444444444,0.8852446680426557,0.963011146226872,0.9114890094133176,0.0463275192813916,0.8823529411764706,0.8872549019607843,0.9618566176470588,0.9116421568627452,0.0454221099425639,0.7703506133314548,0.7884207497082563,0.9289467994018956,0.8342914303064839,0.0841664139854397,0.838235294117647,0.9099264705882352,0.9402573529411764,0.8801470588235295,0.0936389993904437,0.9019607843137254,1.0,1.0,0.9431372549019608,0.0843252653488924,0.8950980392156862,1.0,1.0,0.9467315347191508,0.0753671812021804,0.8538011695906432,0.9140350877192982,0.9466374269005848,0.898915470494418,0.0698869821730266,0.9463667820069204,0.9834558823529412,0.995665729527105,0.9724865436370628,0.0257621020639301,147.0,20.0,10.0,165.0,0.0637238903436805,0.0083291151095176,0.9122807017543859,0.8802395209580839,0.9428571428571428,0.0808823529411764
9,c_vgg16_vgg19_pca_300_linear_svm,C,VGG16+VGG19; PCA-300; linear SVM,VGG16+VGG19,pca,300,linear_svm,3.25,10,0.8642857142857142,0.9117647058823528,0.9338235294117646,0.9007563025210084,0.0458091541848256,0.8760683760683761,0.906158357771261,0.9412955465587044,0.90692129408598,0.0411520101849388,0.8760683760683761,0.906158357771261,0.9412955465587044,0.90692129408598,0.0411520101849388,0.856951871657754,0.9054187192118228,0.9297297297297296,0.8924543990264071,0.0530130105112041,0.8639113712643125,0.9104433431463466,0.9331852358168148,0.8996878465561936,0.0464729389672224,0.8635620915032679,0.9090073529411764,0.9310661764705882,0.8993668300653596,0.0450847958677073,0.7467221669233373,0.8297404358902928,0.8747239822322256,0.8104072876826522,0.0866949688856363,0.8152573529411764,0.875,0.926470588235294,0.85625,0.096998923138174,0.8888888888888888,0.9705882352941176,1.0,0.9424836601307188,0.0667107946283386,0.8839869281045751,0.9615384615384616,1.0,0.9419318753142284,0.0636916165600247,0.8458646616541353,0.8944444444444444,0.928125,0.880471348826612,0.074646210297117,0.9479527104959632,0.9601415321030372,0.9852670847750864,0.9601138985005766,0.0316568513235436,143.0,24.0,10.0,165.0,0.0595133970491582,0.0085494832601394,0.9005847953216374,0.8562874251497006,0.9428571428571428,0.0695378151260504
