rank_position,experiment,approach,model,extractors,reduction,components,classifier,average_friedman_rank,folds,accuracy_q1,accuracy_median,accuracy_q3,accuracy_mean,accuracy_std,f1_q1,f1_median,f1_q3,f1_mean,f1_std,f1_clear_q1,f1_clear_median,f1_clear_q3,f1_clear_mean,f1_clear_std,f1_obstructed_q1,f1_obstructed_median,f1_obstructed_q3,f1_obstructed_mean,f1_obstructed_std,macro_f1_q1,macro_f1_median,macro_f1_q3,macro_f1_mean,macro_f1_std,balanced_accuracy_q1,balanced_accuracy_median,balanced_accuracy_q3,balanced_accuracy_mean,balanced_accuracy_std,mcc_q1,mcc_median,mcc_q3,mcc_mean,mcc_std,obstructed_recall_q1,obstructed_recall_median,obstructed_recall_q3,obstructed_recall_mean,obstructed_recall_std,clear_recall_q1,clear_recall_median,clear_recall_q3,clear_recall_mean,clear_recall_std,obstructed_precision_q1,obstructed_precision_median,obstructed_precision_q3,obstructed_precision_mean,obstructed_precision_std,clear_precision_q1,clear_precision_median,clear_precision_q3,clear_precision_mean,clear_precision_std,roc_auc_q1,roc_auc_median,roc_auc_q3,roc_auc_mean,roc_auc_std,tn_obstructed,fp_obstructed_as_clear,fn_clear_as_obstructed,tp_clear,training_seconds_total,prediction_seconds_total,pooled_accuracy,pooled_obstructed_recall,pooled_clear_recall,accuracy_iqr,selection_group
1,b_densenet121_pca_300_logistic,B,DenseNet121; PCA-300; logistic regression,DenseNet121,pca,300,logistic,272.15,10,0.8831932773109243,0.9117647058823528,0.963235294117647,0.915126050420168,0.0467812273933874,0.8888888888888888,0.9160839160839164,0.9638655462184872,0.92051563345681,0.0423357604542979,0.8888888888888888,0.9160839160839164,0.9638655462184872,0.92051563345681,0.0423357604542979,0.8768382352941176,0.9054187192118228,0.961100569259962,0.9082798609382068,0.0531945044669805,0.8828635620915033,0.9107513176478694,0.9630622083183752,0.9143977471975082,0.0474478806235401,0.8831699346405228,0.9114583333333336,0.9618566176470588,0.9147875816993464,0.0465054587240056,0.7703506133314548,0.8361153884898356,0.9274042055363536,0.8381062906460892,0.0873895829113343,0.8152573529411764,0.9099264705882352,0.9411764705882352,0.875,0.0943070245469166,0.9411764705882352,0.9705882352941176,1.0,0.9545751633986927,0.0576097231617286,0.9297619047619048,0.9705882352941176,1.0,0.9527539436827362,0.0572095299657824,0.8458646616541353,0.915032679738562,0.9466374269005848,0.8941222039054857,0.0740294230351739,0.9532511534025376,0.96881608035371,0.9939356257208766,0.9685265282583622,0.0268719980698454,146.0,21.0,8.0,167.0,0.3522911767940962,0.0024885830935085,0.9152046783625731,0.874251497005988,0.9542857142857143,0.08004201680672263,DenseNet121
1,b_densenet169_pca_200_logistic,B,DenseNet169; PCA-200; logistic regression,DenseNet169,pca,200,logistic,263.75,10,0.8823529411764706,0.8840336134453781,0.9558823529411764,0.9066386554621848,0.0469460600414297,0.8839869281045751,0.8918128654970761,0.9558441558441558,0.9116448322640274,0.0432971643094018,0.8839869281045751,0.8918128654970761,0.9558441558441558,0.9116448322640274,0.0432971643094018,0.86875,0.8819444444444444,0.954377880184332,0.900304820010048,0.0525881203755942,0.8810124269005848,0.8837826797385621,0.9556901685933944,0.9059748261370376,0.0475246229952009,0.882046568627451,0.8848039215686274,0.9545036764705882,0.9059027777777778,0.0474884210406285,0.7654300519383717,0.7819245746960095,0.9130554480883124,0.8178814295213538,0.0920075790905667,0.8235294117647058,0.90625,0.9411764705882352,0.8738970588235293,0.0778171800081535,0.8888888888888888,0.94281045751634,1.0,0.937908496732026,0.061736938193049,0.8784722222222222,0.9282051282051282,1.0,0.933740440845704,0.062347359695789,0.8421052631578947,0.9131944444444444,0.9427083333333331,0.8903404344193817,0.0589470124671602,0.947039600153787,0.9549392060745868,0.9844020328719724,0.9619485294117645,0.0264790281456516,146.0,21.0,11.0,164.0,0.3796012171078468,0.0023501630639651,0.9064327485380117,0.874251497005988,0.9371428571428572,0.07352941176470584,DenseNet169
1,b_densenet201_relieff_150_random_forest,B,DenseNet201; Relief-F-150; random forest,DenseNet201,relieff,150,random_forest,265.15,10,0.9123949579831933,0.9277310924369748,0.9411764705882352,0.9299159663865548,0.036951864550582,0.9103896103896104,0.9277310924369748,0.9444444444444444,0.9321509209744504,0.0352980471821409,0.9103896103896104,0.9277310924369748,0.9444444444444444,0.9321509209744504,0.0352980471821409,0.9142857142857144,0.9258928571428572,0.9402573529411764,0.9268226381461676,0.0407315444517166,0.9123376623376622,0.9276289682539682,0.941125408496732,0.9294867795603088,0.0374947890792685,0.9125816993464052,0.928002450980392,0.943627450980392,0.9296364379084968,0.0381165430965289,0.8262347734075102,0.8560049019607843,0.8887974958263263,0.8635309656046172,0.0718321771758617,0.8961397058823529,0.9411764705882352,0.9411764705882352,0.9216911764705882,0.0719614271088456,0.8888888888888888,0.9166666666666666,1.0,0.9375816993464052,0.0566124006095169,0.8888888888888888,0.9131944444444444,1.0,0.9375408496732026,0.0558950821765952,0.9054276315789472,0.9411764705882352,0.9444444444444444,0.9304013431528912,0.0543024334234141,0.9511245674740484,0.97140522875817,0.9844110438292965,0.967284217608612,0.0248937308738409,154.0,13.0,11.0,164.0,1.1018838619347657,0.08825312112458,0.9298245614035088,0.9221556886227545,0.9371428571428572,0.028781512605041915,DenseNet201
1,b_efficientnetb0_pca_300_linear_svm,B,EfficientNetB0; PCA-300; linear SVM,EfficientNetB0,pca,300,linear_svm,263.75,10,0.8922268907563025,0.9117647058823528,0.913655462184874,0.906470588235294,0.0385580105589926,0.8890374331550802,0.9166023166023168,0.918918918918919,0.909696958830086,0.0377613597013356,0.8890374331550802,0.9166023166023168,0.918918918918919,0.909696958830086,0.0377613597013356,0.8924731182795698,0.906158357771261,0.912987012987013,0.902569127846642,0.0399778862980662,0.8919837769458263,0.9113803371867888,0.9134257634257634,0.906133043338364,0.0385943836280049,0.8928717320261438,0.9117647058823528,0.9133476307189544,0.9061070261437908,0.0380971782275156,0.7887265226020155,0.8249579113843054,0.8348731837206111,0.8163398538080763,0.076876228451268,0.875,0.8823529411764706,0.9402573529411764,0.8863970588235294,0.0583737399188258,0.8823529411764706,0.9166666666666666,0.9861111111111112,0.9258169934640524,0.0603578247331442,0.8823529411764706,0.911111111111111,0.984375,0.9233200034399726,0.0598965231157509,0.8854489164086687,0.8973684210526316,0.9375,0.8971921224630203,0.0488618863494257,0.9594867358708188,0.9757364955786236,0.9767877739331026,0.9647154940407536,0.02742200956334,148.0,19.0,13.0,162.0,0.0594613528810437,0.0087376047158609,0.9064327485380117,0.8862275449101796,0.9257142857142857,0.021428571428571574,EfficientNetB0
1,b_efficientnetb1_pca_200_logistic,B,EfficientNetB1; PCA-200; logistic regression,EfficientNetB1,pca,200,logistic,266.05,10,0.8897058823529411,0.9130252100840336,0.942436974789916,0.915126050420168,0.0449210997338244,0.9022727272727272,0.9166023166023168,0.9411764705882352,0.9184423689299848,0.0405434861462148,0.9022727272727272,0.9166023166023168,0.9411764705882352,0.9184423689299848,0.0405434861462148,0.8939393939393939,0.9116883116883118,0.943627450980392,0.91032907004444,0.0523073040412028,0.8893804112554112,0.9128466128466128,0.9424019607843136,0.9143857194872124,0.0457957643883786,0.8897058823529411,0.913296568627451,0.943627450980392,0.9144199346405228,0.045432395284453,0.7937515666965566,0.8272352833322618,0.8894442893540564,0.8357973105366738,0.0845828392322733,0.8961397058823529,0.9393382352941176,0.9411764705882352,0.9036764705882352,0.0990268877153096,0.8888888888888888,0.9411764705882352,0.943627450980392,0.9251633986928104,0.0549099572279455,0.8903508771929824,0.9302884615384616,0.943627450980392,0.925428177343812,0.0505063907735995,0.9043859649122808,0.9393382352941176,0.9458204334365324,0.9175378117754278,0.0751802234317814,0.9643586601307188,0.9705882352941176,0.9821222606689736,0.9695129277201076,0.019319352406646,151.0,16.0,13.0,162.0,0.2684293300844724,0.0023962478153402,0.9152046783625731,0.9041916167664671,0.9257142857142857,0.052731092436974825,EfficientNetB1
1,b_efficientnetb2_pca_300_linear_svm,B,EfficientNetB2; PCA-300; linear SVM,EfficientNetB2,pca,300,linear_svm,276.25,10,0.8897058823529411,0.9130252100840336,0.9344537815126048,0.9152100840336134,0.037815022305076,0.8952380952380952,0.918918918918919,0.9412955465587044,0.9204999537507276,0.0340579623173088,0.8952380952380952,0.918918918918919,0.9412955465587044,0.9204999537507276,0.0340579623173088,0.8859026369168357,0.9090909090909092,0.9272727272727272,0.908495407567416,0.0435041171153409,0.8892182867842098,0.9128466128466128,0.9337643863959652,0.9144976806590718,0.0384104317973618,0.8883272058823529,0.9125816993464052,0.9314746732026143,0.9140727124183008,0.0376824612339937,0.7797688896107822,0.8295126552802181,0.8741897156977768,0.8358679950087918,0.0710611716367139,0.875,0.8823529411764706,0.8823529411764706,0.879779411764706,0.0841591506573674,0.9411764705882352,0.94281045751634,0.9861111111111112,0.9483660130718954,0.0422680411774388,0.9375,0.9409722222222222,0.9861111111111112,0.9458741830065358,0.0447975437123016,0.8839869281045751,0.8918128654970761,0.8986842105263158,0.8979474533034905,0.0654952807878552,0.9567474048442908,0.9696691176470588,0.9913194444444444,0.9723964340638216,0.0208694407593446,147.0,20.0,9.0,166.0,0.0601371801458294,0.0105749864596869,0.9152046783625731,0.8802395209580839,0.9485714285714286,0.04474789915966371,EfficientNetB2
1,b_efficientnetb3_pca_300_linear_svm,B,EfficientNetB3; PCA-300; linear SVM,EfficientNetB3,pca,300,linear_svm,277.9,10,0.9191176470588234,0.9411764705882352,0.963655462184874,0.9387394957983194,0.0373200290032887,0.9171122994652406,0.94281045751634,0.9641148325358851,0.9409552389428548,0.0353605053779258,0.9171122994652406,0.94281045751634,0.9641148325358851,0.9409552389428548,0.0353605053779258,0.9190476190476192,0.9411764705882352,0.961100569259962,0.9359338574139332,0.0402807057249309,0.9188539530644791,0.9411764705882352,0.9634707050504014,0.9384445481783942,0.0375901466554427,0.9181985294117646,0.9419934640522876,0.9626736111111112,0.938500816993464,0.0371969429586922,0.8393066688323467,0.886516441248811,0.9290381924644584,0.8812500581720467,0.0714468280341902,0.8961397058823529,0.9411764705882352,0.9852941176470588,0.9283088235294118,0.072816189629272,0.9019607843137254,0.94281045751634,1.0,0.9486928104575164,0.0496820406463104,0.9019607843137254,0.94281045751634,1.0,0.9486928104575164,0.0496820406463104,0.909375,0.94281045751634,0.986842105263158,0.936890203449801,0.0596483718811323,0.9714532871972318,0.980938821607074,0.994127859477124,0.9792495674740485,0.0175502534075419,155.0,12.0,9.0,166.0,0.0563173748087133,0.0094488416798407,0.9385964912280702,0.9281437125748503,0.9485714285714286,0.044537815126050595,EfficientNetB3
1,b_efficientnetb4_pca_300_logistic,B,EfficientNetB4; PCA-300; logistic regression,EfficientNetB4,pca,300,logistic,260.35,10,0.8634453781512604,0.9117647058823528,0.913655462184874,0.8977310924369748,0.0538588525376578,0.8634453781512604,0.9116883116883118,0.918918918918919,0.9004941425684461,0.0534210232020736,0.8634453781512604,0.9116883116883118,0.918918918918919,0.9004941425684461,0.0534210232020736,0.8634453781512604,0.9032258064516128,0.9142857142857144,0.8943881584892022,0.054647672130528,0.8634453781512604,0.911072362685266,0.9136363636363636,0.8974411505288241,0.0538375678412537,0.8639705882352942,0.9107434640522876,0.9142156862745096,0.8972426470588235,0.0535472279872789,0.7279411764705882,0.8243519655123199,0.8350113597698376,0.7976125598226271,0.1087971359627734,0.8363970588235294,0.8786764705882353,0.926470588235294,0.8856617647058824,0.0601477279953826,0.8455882352941176,0.8856209150326797,0.9861111111111112,0.9088235294117648,0.0720182815089173,0.8455882352941176,0.8888888888888888,0.9833333333333332,0.906282679738562,0.073954316258231,0.8580882352941176,0.8885448916408669,0.928125,0.894498194014448,0.0539977227398842,0.9385392637447136,0.9679330065359476,0.9822303921568628,0.96051999231065,0.0284835043194498,148.0,19.0,16.0,159.0,0.5795300952158865,0.0022497379686677,0.8976608187134503,0.8862275449101796,0.9085714285714286,0.0502100840336136,EfficientNetB4
1,b_efficientnetb5_pca_300_logistic,B,EfficientNetB5; PCA-300; logistic regression,EfficientNetB5,pca,300,logistic,276.0,10,0.8823529411764706,0.9130252100840336,0.9411764705882352,0.915126050420168,0.0427278766737665,0.8839869281045751,0.9186813186813187,0.9444444444444444,0.919165664916439,0.0409785692279668,0.8839869281045751,0.9186813186813187,0.9444444444444444,0.919165664916439,0.0409785692279668,0.8839869281045751,0.906158357771261,0.9364583333333332,0.9098154556426004,0.0467215326384032,0.882046568627451,0.9124198382262898,0.9408168859649122,0.9144905602795196,0.0432613888656395,0.8823529411764706,0.9117647058823528,0.9401041666666666,0.9139093137254904,0.0434352451292787,0.77005354108682,0.8325629809005557,0.8847017973856208,0.8338183740787948,0.0836978791373571,0.8363970588235294,0.8823529411764706,0.9402573529411764,0.8856617647058824,0.0731700778605411,0.9411764705882352,0.9444444444444444,0.9861111111111112,0.942156862745098,0.0554818170126395,0.9256410256410256,0.9375,0.9852941176470588,0.9397044931332856,0.051693980639636,0.8634453781512604,0.8944444444444444,0.9416666666666668,0.9002235982112143,0.0566378163810126,0.9528546712802768,0.9712610534409842,0.9922055219146482,0.9713343425605536,0.0217659278583615,148.0,19.0,10.0,165.0,0.5637529280502344,0.0023357109166675,0.9152046783625731,0.8862275449101796,0.9428571428571428,0.05882352941176461,EfficientNetB5
1,b_efficientnetb6_pca_300_logistic,B,EfficientNetB6; PCA-300; logistic regression,EfficientNetB6,pca,300,logistic,267.0,10,0.8529411764705882,0.8550420168067226,0.8760504201680672,0.8743697478991596,0.0552271993390077,0.8506493506493507,0.8571428571428571,0.8853383458646616,0.8784796215136772,0.0546102374125607,0.8506493506493507,0.8571428571428571,0.8853383458646616,0.8784796215136772,0.0546102374125607,0.8484848484848485,0.8571428571428571,0.8642857142857143,0.8691927680162974,0.0571517895269432,0.8528138528138528,0.854978354978355,0.874812030075188,0.8738361947649873,0.0553661280552776,0.8529411764705882,0.8560049019607844,0.8733149509803921,0.8738766339869282,0.054594522282237,0.7071067811865476,0.7113965278481758,0.7546829046612529,0.7520595750887691,0.1091489929751857,0.8235294117647058,0.875,0.8823529411764706,0.85625,0.0745930021182513,0.8333333333333334,0.857843137254902,0.943627450980392,0.8915032679738563,0.0732492848424674,0.8333333333333334,0.8541666666666667,0.9271978021978022,0.8873707175177763,0.0710302894800596,0.8375,0.8786764705882353,0.8823529411764706,0.8690826330532213,0.0613395923982241,0.9349498990772778,0.9495386389850058,0.9745710784313724,0.9471969915417148,0.041559555564808,143.0,24.0,19.0,156.0,0.6078061959706242,0.0022784366738046,0.8742690058479532,0.8562874251497006,0.8914285714285715,0.02310924369747902,EfficientNetB6
1,b_efficientnetb7_pca_250_logistic,B,EfficientNetB7; PCA-250; logistic regression,EfficientNetB7,pca,250,logistic,265.0,10,0.8285714285714286,0.8676470588235294,0.926470588235294,0.8745378151260506,0.0596198598910657,0.8355263157894737,0.8736089030206677,0.9308823529411764,0.8801511728446714,0.0577024851379893,0.8355263157894737,0.8736089030206677,0.9308823529411764,0.8801511728446714,0.0577024851379893,0.8259803921568627,0.847926267281106,0.926470588235294,0.8673041885375852,0.0632963321295731,0.8284313725490196,0.8651793498567693,0.926470588235294,0.8737276806911283,0.0598698336194083,0.8288398692810457,0.8628472222222222,0.926470588235294,0.873529411764706,0.059207589555205,0.6631615528078457,0.7348883139886476,0.857602068832513,0.7534420579574936,0.1176586409229177,0.7766544117647058,0.8529411764705882,0.9237132352941176,0.8441176470588235,0.0857527953302914,0.8455882352941176,0.915032679738562,0.9411764705882352,0.9029411764705882,0.0750298773005935,0.834313725490196,0.902714932126697,0.9411764705882352,0.8979952568071763,0.0752964179681379,0.821969696969697,0.8585526315789473,0.926470588235294,0.8620377257761159,0.0672134849894698,0.9263264129181084,0.9343341503267976,0.9687860438292965,0.9398897058823528,0.0393662296061992,141.0,26.0,17.0,158.0,0.5792544754222031,0.0023747803643341,0.8742690058479532,0.844311377245509,0.9028571428571428,0.09789915966386542,EfficientNetB7
