rank_position,experiment,approach,model,extractors,reduction,components,classifier,average_friedman_rank,folds,accuracy_q1,accuracy_median,accuracy_q3,accuracy_mean,accuracy_std,f1_q1,f1_median,f1_q3,f1_mean,f1_std,f1_clear_q1,f1_clear_median,f1_clear_q3,f1_clear_mean,f1_clear_std,f1_obstructed_q1,f1_obstructed_median,f1_obstructed_q3,f1_obstructed_mean,f1_obstructed_std,macro_f1_q1,macro_f1_median,macro_f1_q3,macro_f1_mean,macro_f1_std,balanced_accuracy_q1,balanced_accuracy_median,balanced_accuracy_q3,balanced_accuracy_mean,balanced_accuracy_std,mcc_q1,mcc_median,mcc_q3,mcc_mean,mcc_std,obstructed_recall_q1,obstructed_recall_median,obstructed_recall_q3,obstructed_recall_mean,obstructed_recall_std,clear_recall_q1,clear_recall_median,clear_recall_q3,clear_recall_mean,clear_recall_std,obstructed_precision_q1,obstructed_precision_median,obstructed_precision_q3,obstructed_precision_mean,obstructed_precision_std,clear_precision_q1,clear_precision_median,clear_precision_q3,clear_precision_mean,clear_precision_std,roc_auc_q1,roc_auc_median,roc_auc_q3,roc_auc_mean,roc_auc_std,tn_obstructed,fp_obstructed_as_clear,fn_clear_as_obstructed,tp_clear,training_seconds_total,prediction_seconds_total,pooled_accuracy,pooled_obstructed_recall,pooled_clear_recall,accuracy_iqr
1,b_efficientnetb3_pca_300_linear_svm,B,EfficientNetB3; PCA-300; linear SVM,EfficientNetB3,pca,300.0,linear_svm,2.75,10,0.9191176470588234,0.9411764705882352,0.963655462184874,0.9387394957983194,0.0373200290032887,0.9171122994652406,0.94281045751634,0.9641148325358851,0.9409552389428548,0.0353605053779258,0.9171122994652406,0.94281045751634,0.9641148325358851,0.9409552389428548,0.0353605053779258,0.9190476190476192,0.9411764705882352,0.961100569259962,0.9359338574139332,0.0402807057249309,0.9188539530644791,0.9411764705882352,0.9634707050504014,0.9384445481783942,0.0375901466554427,0.9181985294117646,0.9419934640522876,0.9626736111111112,0.938500816993464,0.0371969429586922,0.8393066688323467,0.886516441248811,0.9290381924644584,0.8812500581720467,0.0714468280341902,0.8961397058823529,0.9411764705882352,0.9852941176470588,0.9283088235294118,0.072816189629272,0.9019607843137254,0.94281045751634,1.0,0.9486928104575164,0.0496820406463104,0.9019607843137254,0.94281045751634,1.0,0.9486928104575164,0.0496820406463104,0.909375,0.94281045751634,0.986842105263158,0.936890203449801,0.0596483718811323,0.9714532871972318,0.980938821607074,0.994127859477124,0.9792495674740485,0.0175502534075419,155.0,12.0,9.0,166.0,0.0563173748087133,0.0094488416798407,0.9385964912280702,0.9281437125748503,0.9485714285714286,0.044537815126050595
2,a_resnet101v2_logistic,A,ResNet101V2; full features; logistic regression,ResNet101V2,full,,logistic,2.55,10,0.9123949579831933,0.9411764705882352,0.963655462184874,0.9415966386554622,0.0307492351301036,0.91995841995842,0.9411764705882352,0.9641148325358851,0.9446047378555118,0.0281881176313256,0.91995841995842,0.9411764705882352,0.9641148325358851,0.9446047378555118,0.0281881176313256,0.9059907834101382,0.9393382352941176,0.962566844919786,0.9378267533628882,0.0344562735060398,0.911875700585378,0.9411764705882352,0.9635306305536568,0.9412157456092002,0.0311057247542013,0.9125816993464052,0.9411764705882352,0.963235294117647,0.9407475490196078,0.0315282051374323,0.835057226930729,0.8823529411764706,0.9298899783562992,0.8866451120243889,0.0592432658906188,0.8768382352941176,0.9411764705882352,0.9411764705882352,0.9158088235294116,0.0655940693937996,0.9411764705882352,0.9722222222222222,1.0,0.9656862745098038,0.0394945903927741,0.9411764705882352,0.9722222222222222,1.0,0.9649019607843136,0.0401085123507765,0.8960526315789474,0.9411764705882352,0.943627450980392,0.926985355545727,0.0517946320876939,0.9631391772395234,0.9826388888888888,0.986159169550173,0.97755430603614,0.016192691815752,153.0,14.0,6.0,169.0,13.736686796124559,0.194560039963107,0.9415204678362573,0.9161676646706587,0.9657142857142857,0.05126050420168071
3,c_mobilenet_resnet50_pca_300_linear_svm,C,MobileNet+ResNet50; PCA-300; linear SVM,MobileNet+ResNet50,pca,300.0,linear_svm,2.35,10,0.9123949579831933,0.9411764705882352,0.963655462184874,0.938655462184874,0.0350285684001392,0.918918918918919,0.9444444444444444,0.9654135338345864,0.9420780041832671,0.0325219213495516,0.918918918918919,0.9444444444444444,0.9654135338345864,0.9420780041832671,0.0325219213495516,0.9103896103896104,0.9354166666666666,0.962566844919786,0.9344672839810408,0.0386673916022917,0.912267462267462,0.9406615497076024,0.963624692301163,0.938272644082154,0.0353988098215593,0.912173202614379,0.9392361111111112,0.9636437908496732,0.9381740196078432,0.0350845149815376,0.8312994980936824,0.8837826797385621,0.9289597730527832,0.8818521795774235,0.0653961769407612,0.8768382352941176,0.9393382352941176,0.9411764705882352,0.9047794117647058,0.0691604390548353,0.9444444444444444,1.0,1.0,0.9715686274509804,0.0408474944952765,0.9384191176470588,1.0,1.0,0.9705065359477124,0.0407154658122365,0.8960526315789474,0.9409722222222222,0.9444444444444444,0.916953842940685,0.0549209518180811,0.9774936322568244,0.9881776239907728,0.9930735774702036,0.9817870530565168,0.0213269355582394,151.0,16.0,5.0,170.0,0.0628785542212422,0.0088543898891652,0.9385964912280702,0.9041916167664671,0.9714285714285714,0.05126050420168071
4,d_mobilenet_resnet50_pca_300_linear_svm,D,MobileNet+ResNet50; PCA-300 per CNN; linear SVM,MobileNet+ResNet50,pca,300.0,linear_svm,2.35,10,0.9123949579831933,0.9411764705882352,0.963655462184874,0.938655462184874,0.0350285684001392,0.918918918918919,0.9444444444444444,0.9654135338345864,0.9420780041832671,0.0325219213495516,0.918918918918919,0.9444444444444444,0.9654135338345864,0.9420780041832671,0.0325219213495516,0.9103896103896104,0.9354166666666666,0.962566844919786,0.9344672839810408,0.0386673916022917,0.912267462267462,0.9406615497076024,0.963624692301163,0.938272644082154,0.0353988098215593,0.912173202614379,0.9392361111111112,0.9636437908496732,0.9381740196078432,0.0350845149815376,0.8312994980936824,0.8837826797385621,0.9289597730527832,0.8818521795774235,0.0653961769407612,0.8768382352941176,0.9393382352941176,0.9411764705882352,0.9047794117647058,0.0691604390548353,0.9444444444444444,1.0,1.0,0.9715686274509804,0.0408474944952765,0.9384191176470588,1.0,1.0,0.9705065359477124,0.0407154658122365,0.8960526315789474,0.9409722222222222,0.9444444444444444,0.916953842940685,0.0549209518180811,0.9757665321030372,0.9881776239907728,0.9930735774702036,0.9821342752787392,0.0213082242087238,151.0,16.0,5.0,170.0,0.0700796040109704,0.0119170900070453,0.9385964912280702,0.9041916167664671,0.9714285714285714,0.05126050420168071
