experiment,folds,accuracy_q1,accuracy_median,accuracy_q3,accuracy_mean,accuracy_std,f1_q1,f1_median,f1_q3,f1_mean,f1_std,f1_clear_q1,f1_clear_median,f1_clear_q3,f1_clear_mean,f1_clear_std,f1_obstructed_q1,f1_obstructed_median,f1_obstructed_q3,f1_obstructed_mean,f1_obstructed_std,macro_f1_q1,macro_f1_median,macro_f1_q3,macro_f1_mean,macro_f1_std,balanced_accuracy_q1,balanced_accuracy_median,balanced_accuracy_q3,balanced_accuracy_mean,balanced_accuracy_std,mcc_q1,mcc_median,mcc_q3,mcc_mean,mcc_std,obstructed_recall_q1,obstructed_recall_median,obstructed_recall_q3,obstructed_recall_mean,obstructed_recall_std,clear_recall_q1,clear_recall_median,clear_recall_q3,clear_recall_mean,clear_recall_std,obstructed_precision_q1,obstructed_precision_median,obstructed_precision_q3,obstructed_precision_mean,obstructed_precision_std,clear_precision_q1,clear_precision_median,clear_precision_q3,clear_precision_mean,clear_precision_std,roc_auc_q1,roc_auc_median,roc_auc_q3,roc_auc_mean,roc_auc_std
a_resnet101v2_logistic,10,0.9123949579831931,0.9411764705882352,0.963655462184874,0.9415966386554622,0.0307492351301036,0.9199584199584201,0.9411764705882352,0.9641148325358851,0.9446047378555118,0.028188117631325615,0.9199584199584201,0.9411764705882352,0.9641148325358851,0.9446047378555118,0.028188117631325615,0.9059907834101382,0.9393382352941175,0.962566844919786,0.9378267533628882,0.0344562735060398,0.9118757005853781,0.9411764705882352,0.9635306305536568,0.9412157456092002,0.031105724754201394,0.9125816993464051,0.9411764705882352,0.963235294117647,0.9407475490196078,0.031528205137432354,0.835057226930729,0.8823529411764706,0.9298899783562993,0.8866451120243889,0.05924326589061882,0.8768382352941176,0.9411764705882352,0.9411764705882352,0.9158088235294117,0.06559406939379961,0.9411764705882352,0.9722222222222222,1.0,0.9656862745098038,0.03949459039277411,0.9411764705882352,0.9722222222222222,1.0,0.9649019607843137,0.04010851235077654,0.8960526315789474,0.9411764705882352,0.9436274509803921,0.926985355545727,0.05179463208769395,0.9631391772395234,0.9826388888888888,0.986159169550173,0.97755430603614,0.016192691815752024
b_efficientnetb3_pca_300_linear_svm,10,0.9191176470588234,0.9411764705882352,0.963655462184874,0.9387394957983194,0.037320029003288784,0.9171122994652406,0.9428104575163399,0.9641148325358851,0.9409552389428549,0.03536050537792588,0.9171122994652406,0.9428104575163399,0.9641148325358851,0.9409552389428549,0.03536050537792588,0.9190476190476191,0.9411764705882352,0.961100569259962,0.9359338574139333,0.040280705724930956,0.9188539530644793,0.9411764705882352,0.9634707050504014,0.9384445481783942,0.037590146655442774,0.9181985294117646,0.9419934640522876,0.9626736111111112,0.9385008169934641,0.037196942958692296,0.8393066688323467,0.886516441248811,0.9290381924644583,0.8812500581720467,0.07144682803419025,0.8961397058823529,0.9411764705882352,0.9852941176470588,0.9283088235294118,0.07281618962927205,0.9019607843137254,0.9428104575163399,1.0,0.9486928104575163,0.049682040646310495,0.9019607843137254,0.9428104575163399,1.0,0.9486928104575163,0.049682040646310495,0.909375,0.9428104575163399,0.986842105263158,0.936890203449801,0.05964837188113239,0.9714532871972318,0.9809388216070741,0.9941278594771241,0.9792495674740485,0.017550253407541936
c_mobilenet_resnet50_pca_300_linear_svm,10,0.9123949579831931,0.9411764705882352,0.963655462184874,0.938655462184874,0.035028568400139265,0.918918918918919,0.9444444444444444,0.9654135338345865,0.9420780041832673,0.0325219213495516,0.918918918918919,0.9444444444444444,0.9654135338345865,0.9420780041832673,0.0325219213495516,0.9103896103896105,0.9354166666666666,0.962566844919786,0.9344672839810408,0.03866739160229171,0.9122674622674621,0.9406615497076023,0.963624692301163,0.938272644082154,0.035398809821559386,0.912173202614379,0.9392361111111112,0.9636437908496732,0.9381740196078432,0.035084514981537675,0.8312994980936824,0.8837826797385621,0.9289597730527831,0.8818521795774235,0.06539617694076127,0.8768382352941176,0.9393382352941175,0.9411764705882352,0.9047794117647058,0.06916043905483533,0.9444444444444444,1.0,1.0,0.9715686274509803,0.040847494495276505,0.9384191176470588,1.0,1.0,0.9705065359477125,0.04071546581223657,0.8960526315789474,0.9409722222222222,0.9444444444444444,0.916953842940685,0.054920951818081126,0.9774936322568244,0.9881776239907728,0.9930735774702037,0.9817870530565168,0.021326935558239408
d_mobilenet_resnet50_pca_300_linear_svm,10,0.9123949579831931,0.9411764705882352,0.963655462184874,0.938655462184874,0.035028568400139265,0.918918918918919,0.9444444444444444,0.9654135338345865,0.9420780041832673,0.0325219213495516,0.918918918918919,0.9444444444444444,0.9654135338345865,0.9420780041832673,0.0325219213495516,0.9103896103896105,0.9354166666666666,0.962566844919786,0.9344672839810408,0.03866739160229171,0.9122674622674621,0.9406615497076023,0.963624692301163,0.938272644082154,0.035398809821559386,0.912173202614379,0.9392361111111112,0.9636437908496732,0.9381740196078432,0.035084514981537675,0.8312994980936824,0.8837826797385621,0.9289597730527831,0.8818521795774235,0.06539617694076127,0.8768382352941176,0.9393382352941175,0.9411764705882352,0.9047794117647058,0.06916043905483533,0.9444444444444444,1.0,1.0,0.9715686274509803,0.040847494495276505,0.9384191176470588,1.0,1.0,0.9705065359477125,0.04071546581223657,0.8960526315789474,0.9409722222222222,0.9444444444444444,0.916953842940685,0.054920951818081126,0.9757665321030373,0.9881776239907728,0.9930735774702037,0.9821342752787391,0.021308224208723834
